img_src,title,price,id,description
'food/food-01.jpg','香脆雞腿堡',100,'FOOD01','我是香脆雞腿堡，多汁美味又酥脆，大家都說讚！'
'food/food-02.jpg','高纖大麥片',200,'FOOD02','我是高纖大麥片，清爽健康顧腸道，大家都說讚！'
'food/food-03.jpg','薑汁啤酒',300,'FOOD03','我是薑汁啤酒，清涼有勁超爽快，大家都說讚！'
'food/food-04.jpg','精緻雞腿便當',400,'FOOD04','我是精緻雞腿便當，料多實在又新鮮，大家都說讚！'
'food/food-05.jpg','格紋鬆餅',500,'FOOD05','我是格紋鬆餅，香甜可口又酥脆，大家都說讚！'
'food/food-06.jpg','檸檬水果茶',600,'FOOD06','我是檸檬水果茶，讓你盡情享受下午時光，大家都說讚！'
'fashion/fashion-01.jpg','蕾絲洋裝',1000,'FASH01','我是蕾絲洋裝，優雅大方又好看，大家都說讚！'
'fashion/fashion-02.jpg','高領毛衣',2000,'FASH02','我是高領毛衣，保暖又百搭，大家都說讚！'
'fashion/fashion-03.jpg','酷炫帽T',3000,'FASH03','我是酷炫帽T，鮮豔又充滿活力，大家都說讚！'
'fashion/fashion-04.jpg','皮衣外套',4000,'FASH04','我是皮衣外套，充滿硬派騎士作風，大家都說讚！'
'fashion/fashion-05.jpg','休閒襯衫',5000,'FASH05','我是休閒襯衫，俐落隨性又帥氣，大家都說讚！'
'fashion/fashion-06.jpg','休閒西裝',6000,'FASH06','我是休閒西裝，經典大方又時尚，大家都說讚！'
